movie_titles,movie_urls,movies_release_years,movies_genres,movies_runtimes,movies_age_ratings,movies_imdb_ratings,movies_streaming_availability
Dumb Money,https://www.justwatch.com/in/movie/dumb-money,2023,"Comedy, Drama",1h,Age rating not found,6.9,"Netflix. It is also possible to buy ""Dumb Money"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
Spider-Man: Across the Spider-Verse,https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2,2023,"Science-Fiction, Animation, Action & Adventure, Kids & Family, Fantasy, Comedy",2h,UA,8.6,"Netflix. It is also possible to buy ""Spider-Man: Across the Spider-Verse"" on Apple TV, Google Play Movies, YouTube as download or rent it on Zee5, Amazon Video, Tata Play, Apple TV, Google Play Movies, YouTube online."
Animal,https://www.justwatch.com/in/movie/animal-2022,2023,"Drama, Action & Adventure, Mystery & Thriller, Crime",3h,A,6.7,Netflix.
Zara Hatke Zara Bachke,https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke,2023,"Romance, Drama, Kids & Family, Comedy",2h,UA,6.5,Streaming not available
Keedaa Cola,https://www.justwatch.com/in/movie/keedaa-cola,2023,"Comedy, Crime, Action & Adventure",2h,U,8.1,aha.
Napoleon,https://www.justwatch.com/in/movie/napoleon-2023,2023,"Action & Adventure, Drama, History, War & Military",2h,Age rating not found,6.5,Streaming not available
Barbie,https://www.justwatch.com/in/movie/barbie-2023,2023,"Comedy, Fantasy",1h,UA,6.9,"Jio Cinema. It is also possible to buy ""Barbie"" on Apple TV, Google Play Movies, YouTube as download or rent it on Amazon Video, Apple TV, Google Play Movies, YouTube online."
Talk to Me,https://www.justwatch.com/in/movie/talk-to-me-2022,2023,"Horror, Mystery & Thriller",1h,Age rating not found,7.1,"Amazon Prime Video. It is also possible to buy ""Talk to Me"" on Google Play Movies, YouTube, Apple TV as download or rent it on Google Play Movies, YouTube, Apple TV online."
Saltburn,https://www.justwatch.com/in/movie/saltburn,2023,"Comedy, Mystery & Thriller, Drama",2h,Age rating not found,7.1,Streaming not available
Devil,https://www.justwatch.com/in/movie/devil-2023,2023,"Mystery & Thriller, Drama, Action & Adventure",2h,Age rating not found,6.8,Amazon Prime Video or rent it on Amazon Video online.
The Kerala Story,https://www.justwatch.com/in/movie/the-kerala-story,2023,Drama,2h,A,7.2,Streaming not available
Mangalavaaram,https://www.justwatch.com/in/movie/mangalavaram,2023,"Action & Adventure, Horror, Mystery & Thriller",2h,Age rating not found,6.7,Hotstar.
Dunki,https://www.justwatch.com/in/movie/dunki,2023,"Drama, Comedy",2h,Age rating not found,7.3,Streaming not available
Jawan,https://www.justwatch.com/in/movie/jawan,2023,"Mystery & Thriller, Action & Adventure",2h,UA,7.0,"Netflix. It is also possible to buy ""Jawan"" on Google Play Movies, YouTube as download or rent it on Google Play Movies, YouTube online."
Killers of the Flower Moon,https://www.justwatch.com/in/movie/killers-of-the-flower-moon,2023,"Crime, History, Drama, Romance, Western",3h,A,7.7,Apple TV Plus or buy it as download on Apple TV.
Kaathal – The Core,https://www.justwatch.com/in/movie/kaathal-the-core,2023,"Drama, Crime",1h,UA,7.6,Amazon Prime Video.
Kho Gaye Hum Kahan,https://www.justwatch.com/in/movie/kho-gaye-hum-kahan,2023,"Drama, Comedy, Romance",2h,Age rating not found,7.9,Netflix.
