tv_show_titles,tv_show_urls,tv_shows_runtimes,tv_shows_age_ratings,tv_shows_imdb_ratings,tv_shows_genres,tv_shows_release_years,tv_shows_streaming_availability
Breaking Bad,https://www.justwatch.com/in/movie/napoleon-2023,47min,U,9.5,"Crime, Mystery & Thriller, Drama",2008,Netflix.
Aspirants,https://www.justwatch.com/in/movie/keedaa-cola,44min,Age rating not found,9.2,Drama,2021,Amazon Prime Video or for free with ads on Amazon miniTV.
Gullak,https://www.justwatch.com/in/movie/anyone-but-you,29min,Age rating not found,9.1,"Drama, Kids & Family, Comedy",2019,Sony Liv.
Lucifer,https://www.justwatch.com/in/movie/harry-potter-and-the-philosophers-stone,47min,Age rating not found,8.1,"Crime, Science-Fiction, Drama, Fantasy",2016,Netflix.
Gyeongseong Creature,https://www.justwatch.com/in/movie/zara-hatke-zara-bach-ke,1h,Age rating not found,7.4,"Action & Adventure, Drama, History, Horror, Mystery & Thriller",2023,Netflix.
Dhootha,https://www.justwatch.com/in/movie/the-holdovers,43min,A,7.8,"Mystery & Thriller, Drama",2023,Amazon Prime Video.
Percy Jackson and the Olympians,https://www.justwatch.com/in/movie/dada-2023,38min,Age rating not found,7.4,"Drama, Action & Adventure, Science-Fiction, Kids & Family, Fantasy",2023,Streaming not available
The Brothers Sun,https://www.justwatch.com/in/movie/curry-and-cyanide-the-jolly-joseph-case,55min,Age rating not found,7.7,"Comedy, Drama, Action & Adventure, Crime",2024,Netflix.
Echo,https://www.justwatch.com/in/movie/godzilla-minus-one,41min,Age rating not found,6.1,"Drama, Action & Adventure, Science-Fiction, Crime",2024,Streaming not available
Under the Dome,https://www.justwatch.com/in/movie/tejas,43min,Age rating not found,6.5,"Drama, Mystery & Thriller, Science-Fiction",2013,Amazon Prime Video.
Scam 2003: The Telgi Story,https://www.justwatch.com/in/movie/365-days,44min,Age rating not found,7.9,"Drama, Crime",2023,Sony Liv.
Single's Inferno,https://www.justwatch.com/in/movie/interstellar,1h,Age rating not found,7.2,Reality TV,2021,Netflix.
Dehati Ladke,https://www.justwatch.com/in/movie/rebel-moon,24min,Age rating not found,7.3,Drama,2023,Amazon miniTV for free with ads.
Peaky Blinders,https://www.justwatch.com/in/movie/leave-the-world-behind-2023,58min,A,8.8,"Drama, Crime",2013,Netflix.
Scam 1992,https://www.justwatch.com/in/movie/pathaan,52min,Age rating not found,9.3,"Drama, Mystery & Thriller, Crime",2020,Sony Liv.
Menaka,https://www.justwatch.com/in/movie/ssmb-28,32min,Age rating not found,7.9,"Mystery & Thriller, Crime",2019,ManoramaMax.
ONE PIECE,https://www.justwatch.com/in/movie/mad-max-fury-road,56min,Age rating not found,8.4,"Science-Fiction, Action & Adventure, Fantasy, Comedy, Drama",2023,Netflix.
Euphoria,https://www.justwatch.com/in/movie/neru,58min,A,8.3,Drama,2019,Jio Cinema.
Perilloor Premier League,https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b,37min,U,7.5,"Comedy, Drama",2024,Hotstar.
Kaala Paani,https://www.justwatch.com/in/movie/aquaman,1h,Age rating not found,8.0,"Drama, Mystery & Thriller",2023,Netflix.
House,https://www.justwatch.com/in/movie/pushpa,44min,UA,8.7,Drama,2004,"Amazon Prime Video, Jio Cinema."
House of the Dragon,https://www.justwatch.com/in/movie/merry-christmas-2024,1h,A,8.5,"Drama, Action & Adventure, Science-Fiction, Fantasy, Romance",2022,Jio Cinema.
Detective Forst,https://www.justwatch.com/in/movie/antony-2023,43min,Age rating not found,5.5,"Crime, Drama",2024,Netflix.
Spartacus,https://www.justwatch.com/in/movie/the-wolf-of-wall-street,54min,Age rating not found,8.5,"Drama, Romance, Action & Adventure",2010,Lionsgate Play.
Maharani,https://www.justwatch.com/in/movie/777-charlie,20min,Age rating not found,7.2,Drama,2009,Hotstar for free with ads.
The Rookie,https://www.justwatch.com/in/movie/fast-x,43min,Age rating not found,8.0,"Drama, Comedy, Crime, Action & Adventure",2018,Streaming not available
Naruto Shippūden,https://www.justwatch.com/in/movie/k-g-f-chapter-2,23min,U,8.7,"Action & Adventure, Science-Fiction, Drama, Fantasy, Animation, Comedy",2007,"Netflix, Crunchyroll or for free with ads on Crunchyroll."
